,tweet
64,@_ebn_oraik @abdualaaaziz لاولله غلط لا تكفى لاتربيه كذا على الغيره القويه التشدد انا عارف انه هو الصح بس تخاف ينظلم ويكبر وينصدم بالواقع مثلنا جيل التسعينات أكثر جيل مظلوم تخيل الصحوه تعبي راسك خلك غيور وانت بلا غيره ديوس وهذا حرام وهذا كافر فجأه بعام الفين تغيرت الدنيا علينا بعقولنا افكار غير اتعبتنا فت
65,"RT @mastura2177: @DhkryJwya کشتار دسته جمعی هزاره ها,۱۸۹۰ تا ۱۹۰۰میلادی,هیئت حاکمه راس کشور، عبدالرحمان خان، فتوای مذهبی برخی مولوی‌های اهل…"
66,RT @QQQ9K: هالوقت لو تغرد شي مو عن رمضان يحسبونك كافر.
67,"‌
تشنه‌ لب هیچ مسلمان نکشد کافر را
تو چه کردی که لبِ تشنه بریدند سرت؟"
68,"RT @qarieisa: احمقو
کافرانو
خوارجو هیبتي خنزیرانو!

څوک چې د بینظیرې سپین خښتګ یادوي بیا تاسې خوارج احمقان د سلو خواوو ورباندې د کفر ټاپې و…"
69,"یہ نرجن سنگھ تو کافر ہے مگر عادتیں ساری مسلمانوں والی ہے
اور ھم مسلمان ہے  مگر افسوس ھماری ساری عادتیں جابر کافروں والی اللہ معاف کرے https://t.co/WXqtbyxauA"
70,"RT @iAimalKhan_: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
71,"@mhamid986 @hihzhi @khaledmontaser كلام الله سيبته ليه يا فندم 🤔
كلام الله فيييييين اصلآ 🤔
مافيش

شوفت بقا فهمت لوحدك ازاى أن الدولة كافرة و الحاكم كافر😊

مشكلتكم أن كلكم عارفين ومتأكدين أن الجليل هو المؤسس والصانع الاول لداعش سلفيين اخوان جهاديين جماعة إسلامية تكفيريين طالبان قاعدةحسان بن لادن ظواهرى حيوانى،،"
72,"RT @iAimalKhan_: میں گواہی دیتاہوں کہ مرزاغلام احمدقادیانی جھوٹامدّعی نبوّت کافر ہےاور کذاب ہے.
اسکےتمام ماننےوالےکافر ہیں اور دائرہ اسلام…"
73,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
74,"قصف جبهة من النوع الفاخر
#دانت_كافر_ياجدع https://t.co/NrPSXWeVsS https://t.co/2mvMHSxWgN"
75,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
76,"@RTRihla دا قصف جبهة في منتصف ال*** 
#دانت_كافر_ياجدع
بصوت عادل امام https://t.co/26cazbqtkV"
77,RT @TahirAshrafi: غدار اور كافر دو جملو ں سے كوئ محفوظ رها هو تو بتادينا
78,"RT @ExileTVNetwork: T-1902
یک ملای پشتون:
شما ( تالبان) بنام جهاد و امر امیرالمومنین دست به قتل های ناحق می‌زنید، امروز عملکرد یک کافر نسبت…"
79,@Asmat70664678 @DemocraticPak1 تق پھر پھدی بھی ٹھنڈی کروا لے اس حافظ کافر مردود سے
80,"RT @mastura2177: @DhkryJwya کشتار دسته جمعی هزاره ها,۱۸۹۰ تا ۱۹۰۰میلادی,هیئت حاکمه راس کشور، عبدالرحمان خان، فتوای مذهبی برخی مولوی‌های اهل…"
81,اما بالنسبة للواد اللي كان بيقول الولادة القيصرية خلت الولادة سهلة و الستات بتتدلع دا هيبقي ليه مكان في النار لوحده كده مش هيبقي في حد كافر تاني يتعذب معاه
82,الجوع كافر
83,"RT @moavia_official: اگر کوئی صحابہ اکرام کو کافر کہتا ہے تو کائنات میں اس سے بڑا کافر کوئی نہیں   
https://t.co/m1pdFE8i8P…مکمل بیان یوٹیو…"
